Elemento,Tipo,Nodo_I,Nodo_J,X_I,Y_I,Z_I,X_J,Y_J,Z_J,Longitud,N_I,Vy_I,Vz_I,T_I,My_I,Mz_I,N_Centro,Vy_Centro,Vz_Centro,T_Centro,My_Centro,Mz_Centro,N_J,Vy_J,Vz_J,T_J,My_J,Mz_J
1,Columna,1,17,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,3.0000,1.4462,-2.1571,201.2482,51.6301,1.7230,0.0000,0.0000,0.0000,0.0000,3.2357,2.1693,0.0000,-1.4462,2.1571,-201.2482,-45.1588,2.6156,-0.0000
2,Columna,5,21,0.0000,4.0000,0.0000,0.0000,4.0000,3.0000,3.0000,2.3520,-2.1115,403.2939,50.0723,2.6288,0.0000,0.0000,0.0000,0.0000,3.1672,3.5280,0.0000,-2.3520,2.1115,-403.2939,-43.7378,4.4273,-0.0000
3,Columna,9,25,0.0000,9.0000,0.0000,0.0000,9.0000,3.0000,3.0000,2.3520,2.1115,403.2939,-50.0723,2.6288,-0.0000,0.0000,0.0000,0.0000,-3.1672,3.5280,0.0000,-2.3520,-2.1115,-403.2939,43.7378,4.4273,0.0000
4,Columna,13,29,0.0000,13.0000,0.0000,0.0000,13.0000,3.0000,3.0000,1.4462,2.1571,201.2482,-51.6301,1.7230,-0.0000,0.0000,0.0000,0.0000,-3.2357,2.1693,0.0000,-1.4462,-2.1571,-201.2482,45.1588,2.6156,0.0000
5,Columna,2,18,5.0000,0.0000,0.0000,5.0000,0.0000,3.0000,3.0000,0.9462,2.2622,424.3931,45.8367,1.0937,0.0000,0.0000,0.0000,0.0000,-3.3933,1.4193,0.0000,-0.9462,-2.2622,-424.3931,-52.6232,1.7449,-0.0000
6,Columna,6,22,5.0000,4.0000,0.0000,5.0000,4.0000,3.0000,3.0000,1.8327,2.1116,817.5649,43.9596,1.9802,0.0000,0.0000,0.0000,0.0000,-3.1673,2.7490,0.0000,-1.8327,-2.1116,-817.5649,-50.2943,3.5179,-0.0000
7,Columna,10,26,5.0000,9.0000,0.0000,5.0000,9.0000,3.0000,3.0000,1.8327,-2.1116,817.5649,-43.9596,1.9802,-0.0000,0.0000,0.0000,0.0000,3.1673,2.7490,0.0000,-1.8327,2.1116,-817.5649,50.2943,3.5179,0.0000
8,Columna,14,30,5.0000,13.0000,0.0000,5.0000,13.0000,3.0000,3.0000,0.9462,-2.2622,424.3931,-45.8367,1.0937,-0.0000,0.0000,0.0000,0.0000,3.3933,1.4193,0.0000,-0.9462,2.2622,-424.3931,52.6232,1.7449,0.0000
9,Columna,3,19,11.0000,0.0000,0.0000,11.0000,0.0000,3.0000,3.0000,-0.9462,2.2622,424.3931,45.8367,-1.0937,-0.0000,0.0000,0.0000,0.0000,-3.3933,-1.4193,0.0000,0.9462,-2.2622,-424.3931,-52.6232,-1.7449,0.0000
10,Columna,7,23,11.0000,4.0000,0.0000,11.0000,4.0000,3.0000,3.0000,-1.8327,2.1116,817.5649,43.9596,-1.9802,-0.0000,0.0000,0.0000,0.0000,-3.1673,-2.7490,0.0000,1.8327,-2.1116,-817.5649,-50.2943,-3.5179,0.0000
