Nodo,X,Y,Z,UX,UY,UZ,RX,RY,RZ
1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,11.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,16.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,5.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,11.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,16.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,0.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,5.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11,11.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12,16.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13,0.000000,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14,5.000000,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15,11.000000,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16,16.000000,13.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17,0.000000,0.000000,3.000000,-0.000113,0.000000,-0.001644,-0.000000,0.000122,-0.000000
18,5.000000,0.000000,3.000000,-0.000060,0.000000,-0.003467,-0.000000,0.000089,-0.000000
19,11.000000,0.000000,3.000000,0.000060,0.000000,-0.003467,-0.000000,-0.000089,0.000000
20,16.000000,0.000000,3.000000,0.000113,0.000000,-0.001644,-0.000000,-0.000122,0.000000
21,0.000000,4.000000,3.000000,-0.000113,0.000000,-0.003295,-0.000000,0.000245,-0.000000
22,5.000000,4.000000,3.000000,-0.000060,0.000000,-0.006679,-0.000000,0.000209,-0.000000
23,11.000000,4.000000,3.000000,0.000060,0.000000,-0.006679,-0.000000,-0.000209,0.000000
24,16.000000,4.000000,3.000000,0.000113,0.000000,-0.003295,-0.000000,-0.000245,0.000000
25,0.000000,9.000000,3.000000,-0.000113,-0.000000,-0.003295,0.000000,0.000245,0.000000
26,5.000000,9.000000,3.000000,-0.000060,-0.000000,-0.006679,0.000000,0.000209,0.000000
27,11.000000,9.000000,3.000000,0.000060,-0.000000,-0.006679,0.000000,-0.000209,-0.000000
