Elemento,Tipo,Nodo_I,Nodo_J,X_I,Y_I,Z_I,X_J,Y_J,Z_J,Longitud,N_I,Vy_I,Vz_I,T_I,My_I,Mz_I,N_Centro,Vy_Centro,Vz_Centro,T_Centro,My_Centro,Mz_Centro,N_J,Vy_J,Vz_J,T_J,My_J,Mz_J
1,Columna,1,17,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000,4.0000,,,,,,,,,,,,,,,,,,
2,Columna,2,18,0.0000,5.0000,0.0000,0.0000,5.0000,4.0000,4.0000,,,,,,,,,,,,,,,,,,
3,Columna,3,19,0.0000,10.0000,0.0000,0.0000,10.0000,4.0000,4.0000,,,,,,,,,,,,,,,,,,
4,Columna,4,20,0.0000,15.0000,0.0000,0.0000,15.0000,4.0000,4.0000,,,,,,,,,,,,,,,,,,
5,Columna,5,21,0.0000,18.0000,0.0000,0.0000,18.0000,4.0000,4.0000,,,,,,,,,,,,,,,,,,
6,Columna,6,23,5.0000,0.0000,0.0000,5.0000,0.0000,4.0000,4.0000,,,,,,,,,,,,,,,,,,
7,Columna,7,24,5.0000,5.0000,0.0000,5.0000,5.0000,4.0000,4.0000,,,,,,,,,,,,,,,,,,
8,Columna,8,25,5.0000,10.0000,0.0000,5.0000,10.0000,4.0000,4.0000,,,,,,,,,,,,,,,,,,
9,Columna,9,26,5.0000,15.0000,0.0000,5.0000,15.0000,4.0000,4.0000,,,,,,,,,,,,,,,,,,
10,Columna,10,27,5.0000,18.0000,0.0000,5.0000,18.0000,4.0000,4.0000,,,,,,,,,,,,,,,,,,
11,Columna,11,29,10.0000,0.0000,0.0000,10.0000,0.0000,4.0000,4.0000,,,,,,,,,,,,,,,,,,
12,Columna,12,30,10.0000,5.0000,0.0000,10.0000,5.0000,4.0000,4.0000,,,,,,,,,,,,,,,,,,
13,Columna,13,31,10.0000,10.0000,0.0000,10.0000,10.0000,4.0000,4.0000,,,,,,,,,,,,,,,,,,
14,Columna,14,32,10.0000,15.0000,0.0000,10.0000,15.0000,4.0000,4.0000,,,,,,,,,,,,,,,,,,
15,Columna,15,33,10.0000,18.0000,0.0000,10.0000,18.0000,4.0000,4.0000,,,,,,,,,,,,,,,,,,
16,Columna,17,35,0.0000,0.0000,4.0000,0.0000,0.0000,7.0000,3.0000,,,,,,,,,,,,,,,,,,
17,Columna,18,36,0.0000,5.0000,4.0000,0.0000,5.0000,7.0000,3.0000,,,,,,,,,,,,,,,,,,
18,Columna,19,37,0.0000,10.0000,4.0000,0.0000,10.0000,7.0000,3.0000,,,,,,,,,,,,,,,,,,
19,Columna,20,38,0.0000,15.0000,4.0000,0.0000,15.0000,7.0000,3.0000,,,,,,,,,,,,,,,,,,
20,Columna,21,39,0.0000,18.0000,4.0000,0.0000,18.0000,7.0000,3.0000,,,,,,,,,,,,,,,,,,
21,Columna,23,41,5.0000,0.0000,4.0000,5.0000,0.0000,7.0000,3.0000,,,,,,,,,,,,,,,,,,
22,Columna,24,42,5.0000,5.0000,4.0000,5.0000,5.0000,7.0000,3.0000,,,,,,,,,,,,,,,,,,
23,Columna,25,43,5.0000,10.0000,4.0000,5.0000,10.0000,7.0000,3.0000,,,,,,,,,,,,,,,,,,
24,Columna,26,44,5.0000,15.0000,4.0000,5.0000,15.0000,7.0000,3.0000,,,,,,,,,,,,,,,,,,
25,Columna,27,45,5.0000,18.0000,4.0000,5.0000,18.0000,7.0000,3.0000,,,,,,,,,,,,,,,,,,
26,Columna,29,47,10.0000,0.0000,4.0000,10.0000,0.0000,7.0000,3.0000,,,,,,,,,,,,,,,,,,
27,Columna,30,48,10.0000,5.0000,4.0000,10.0000,5.0000,7.0000,3.0000,,,,,,,,,,,,,,,,,,
28,Columna,31,49,10.0000,10.0000,4.0000,10.0000,10.0000,7.0000,3.0000,,,,,,,,,,,,,,,,,,
29,Columna,32,50,10.0000,15.0000,4.0000,10.0000,15.0000,7.0000,3.0000,,,,,,,,,,,,,,,,,,
30,Columna,33,51,10.0000,18.0000,4.0000,10.0000,18.0000,7.0000,3.0000,,,,,,,,,,,,,,,,,,
31,Columna,35,53,0.0000,0.0000,7.0000,0.0000,0.0000,10.0000,3.0000,,,,,,,,,,,,,,,,,,
32,Columna,36,54,0.0000,5.0000,7.0000,0.0000,5.0000,10.0000,3.0000,,,,,,,,,,,,,,,,,,
33,Columna,37,55,0.0000,10.0000,7.0000,0.0000,10.0000,10.0000,3.0000,,,,,,,,,,,,,,,,,,
34,Columna,38,56,0.0000,15.0000,7.0000,0.0000,15.0000,10.0000,3.0000,,,,,,,,,,,,,,,,,,
35,Columna,39,57,0.0000,18.0000,7.0000,0.0000,18.0000,10.0000,3.0000,,,,,,,,,,,,,,,,,,
36,Columna,41,59,5.0000,0.0000,7.0000,5.0000,0.0000,10.0000,3.0000,,,,,,,,,,,,,,,,,,
37,Columna,42,60,5.0000,5.0000,7.0000,5.0000,5.0000,10.0000,3.0000,,,,,,,,,,,,,,,,,,
38,Columna,43,61,5.0000,10.0000,7.0000,5.0000,10.0000,10.0000,3.0000,,,,,,,,,,,,,,,,,,
39,Columna,44,62,5.0000,15.0000,7.0000,5.0000,15.0000,10.0000,3.0000,,,,,,,,,,,,,,,,,,
40,Columna,45,63,5.0000,18.0000,7.0000,5.0000,18.0000,10.0000,3.0000,,,,,,,,,,,,,,,,,,
41,Columna,47,65,10.0000,0.0000,7.0000,10.0000,0.0000,10.0000,3.0000,,,,,,,,,,,,,,,,,,
42,Columna,48,66,10.0000,5.0000,7.0000,10.0000,5.0000,10.0000,3.0000,,,,,,,,,,,,,,,,,,
43,Columna,49,67,10.0000,10.0000,7.0000,10.0000,10.0000,10.0000,3.0000,,,,,,,,,,,,,,,,,,
44,Columna,50,68,10.0000,15.0000,7.0000,10.0000,15.0000,10.0000,3.0000,,,,,,,,,,,,,,,,,,
45,Columna,51,69,10.0000,18.0000,7.0000,10.0000,18.0000,10.0000,3.0000,,,,,,,,,,,,,,,,,,
46,Columna,53,71,0.0000,0.0000,10.0000,0.0000,0.0000,13.0000,3.0000,,,,,,,,,,,,,,,,,,
47,Columna,54,72,0.0000,5.0000,10.0000,0.0000,5.0000,13.0000,3.0000,,,,,,,,,,,,,,,,,,
48,Columna,55,73,0.0000,10.0000,10.0000,0.0000,10.0000,13.0000,3.0000,,,,,,,,,,,,,,,,,,
49,Columna,56,74,0.0000,15.0000,10.0000,0.0000,15.0000,13.0000,3.0000,,,,,,,,,,,,,,,,,,
50,Columna,57,75,0.0000,18.0000,10.0000,0.0000,18.0000,13.0000,3.0000,,,,,,,,,,,,,,,,,,
51,Columna,59,77,5.0000,0.0000,10.0000,5.0000,0.0000,13.0000,3.0000,,,,,,,,,,,,,,,,,,
