Nodo,X,Y,Z,Columnas_Conectadas,Rx_kN,Ry_kN,Rz_kN,Mx_kNm,My_kNm,Mz_kNm,Resultante_kN,Momento_Resultante_kNm
1,0.0000,0.0000,0.0000,1,,,,,,,,
6,5.0000,0.0000,0.0000,6,,,,,,,,
11,10.0000,0.0000,0.0000,11,,,,,,,,
2,0.0000,5.0000,0.0000,2,,,,,,,,
7,5.0000,5.0000,0.0000,7,,,,,,,,
12,10.0000,5.0000,0.0000,12,,,,,,,,
3,0.0000,10.0000,0.0000,3,,,,,,,,
8,5.0000,10.0000,0.0000,8,,,,,,,,
13,10.0000,10.0000,0.0000,13,,,,,,,,
4,0.0000,15.0000,0.0000,4,,,,,,,,
9,5.0000,15.0000,0.0000,9,,,,,,,,
14,10.0000,15.0000,0.0000,14,,,,,,,,
5,0.0000,18.0000,0.0000,5,,,,,,,,
10,5.0000,18.0000,0.0000,10,,,,,,,,
15,10.0000,18.0000,0.0000,15,,,,,,,,
