Node,Disp_X,Disp_Y,Disp_Z,Rot_X,Rot_Y,Rot_Z
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0
16,0.26141299181400046,8.585112964564587e-08,-1.638023666467917,-4.879029719109782e-08,0.27893109243804826,1.8450512703492734e-10
17,0.29250731836104976,8.584067820498899e-08,-3.2599824011639775,-4.918537783756663e-08,0.22498108308240702,5.403756502553569e-12
18,0.3562500700382169,8.588376053929944e-08,-2.4268970293084187,-4.923509256764963e-08,-0.0021533857083843094,-2.102977351638804e-10
19,0.26141299029793946,6.662351225861322e-08,-2.9555787929220703,-3.7753739468025376e-08,0.3835505009624522,-1.008160797667432e-10
20,0.29250731823712084,6.616503529024739e-08,-5.4502025138775245,-3.803245866405119e-08,0.24685780439000551,-5.405064309191845e-11
21,0.35625007126875247,6.668105852406748e-08,-4.197257793110805,-3.8196580481975623e-08,-0.08560716897183057,1.233152201369731e-10
22,0.26141299292772685,-3.359070139862902e-08,-3.001944449260022,1.9265076343388075e-08,0.38993162474300824,-7.874669204020702e-10
23,0.29250731859967444,-3.4433383261204984e-08,-5.523841329342357,1.952484278277676e-08,0.25052506043207917,-5.390863869512769e-11
24,0.3562500679702179,-3.244379662597346e-08,-4.2583952110771435,1.8620317929165308e-08,-0.08828152505306754,1.0748703763245392e-09
25,0.2614129992503259,-1.249418027968108e-07,-2.2786068792917513,7.117318230790653e-08,0.32916786109779195,-8.104804675962329e-10
26,0.29250731905943833,-1.2531043422088003e-07,-4.336356773944291,7.16151492191178e-08,0.23119650593244803,9.066419512000691e-11
27,0.35625006001617854,-1.225406952308648e-07,-3.290423902722353,7.023648787580848e-08,-0.04666590639811591,1.426667506039348e-09
28,0.261413001625354,-8.156588709295135e-08,-1.1437585904680627,4.641018584927765e-08,0.24001526866863523,-4.2348091427095637e-10
29,0.2925073187569654,-8.1523256336887e-08,-2.3909062813103925,4.658945259356772e-08,0.21797447253593744,1.7200668220940715e-10
