Nodo,X,Y,Z,Ux_m,Uy_m,Uz_m,Rx_rad,Ry_rad,Rz_rad,Despl_Resultante_m,Rot_Resultante_rad
1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,5.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12,10.000000,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,5.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13,10.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.000000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,5.000000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14,10.000000,15.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.000000,18.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,5.000000,18.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15,10.000000,18.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
16,0.000000,-0.600000,4.000000,,,,,,,,
22,5.000000,-0.600000,4.000000,,,,,,,,
28,10.000000,-0.600000,4.000000,,,,,,,,
17,0.000000,0.000000,4.000000,,,,,,,,
23,5.000000,0.000000,4.000000,,,,,,,,
29,10.000000,0.000000,4.000000,,,,,,,,
18,0.000000,5.000000,4.000000,,,,,,,,
24,5.000000,5.000000,4.000000,,,,,,,,
30,10.000000,5.000000,4.000000,,,,,,,,
19,0.000000,10.000000,4.000000,,,,,,,,
25,5.000000,10.000000,4.000000,,,,,,,,
31,10.000000,10.000000,4.000000,,,,,,,,
20,0.000000,15.000000,4.000000,,,,,,,,
26,5.000000,15.000000,4.000000,,,,,,,,
32,10.000000,15.000000,4.000000,,,,,,,,
21,0.000000,18.000000,4.000000,,,,,,,,
27,5.000000,18.000000,4.000000,,,,,,,,
33,10.000000,18.000000,4.000000,,,,,,,,
34,0.000000,-0.600000,7.000000,,,,,,,,
40,5.000000,-0.600000,7.000000,,,,,,,,
46,10.000000,-0.600000,7.000000,,,,,,,,
35,0.000000,0.000000,7.000000,,,,,,,,
41,5.000000,0.000000,7.000000,,,,,,,,
47,10.000000,0.000000,7.000000,,,,,,,,
36,0.000000,5.000000,7.000000,,,,,,,,
42,5.000000,5.000000,7.000000,,,,,,,,
48,10.000000,5.000000,7.000000,,,,,,,,
37,0.000000,10.000000,7.000000,,,,,,,,
43,5.000000,10.000000,7.000000,,,,,,,,
49,10.000000,10.000000,7.000000,,,,,,,,
38,0.000000,15.000000,7.000000,,,,,,,,
44,5.000000,15.000000,7.000000,,,,,,,,
50,10.000000,15.000000,7.000000,,,,,,,,
39,0.000000,18.000000,7.000000,,,,,,,,
45,5.000000,18.000000,7.000000,,,,,,,,
51,10.000000,18.000000,7.000000,,,,,,,,
52,0.000000,-0.600000,10.000000,,,,,,,,
58,5.000000,-0.600000,10.000000,,,,,,,,
64,10.000000,-0.600000,10.000000,,,,,,,,
53,0.000000,0.000000,10.000000,,,,,,,,
59,5.000000,0.000000,10.000000,,,,,,,,
65,10.000000,0.000000,10.000000,,,,,,,,
54,0.000000,5.000000,10.000000,,,,,,,,
60,5.000000,5.000000,10.000000,,,,,,,,
66,10.000000,5.000000,10.000000,,,,,,,,
55,0.000000,10.000000,10.000000,,,,,,,,
61,5.000000,10.000000,10.000000,,,,,,,,
67,10.000000,10.000000,10.000000,,,,,,,,
56,0.000000,15.000000,10.000000,,,,,,,,
62,5.000000,15.000000,10.000000,,,,,,,,
68,10.000000,15.000000,10.000000,,,,,,,,
57,0.000000,18.000000,10.000000,,,,,,,,
63,5.000000,18.000000,10.000000,,,,,,,,
69,10.000000,18.000000,10.000000,,,,,,,,
70,0.000000,-0.600000,13.000000,,,,,,,,
76,5.000000,-0.600000,13.000000,,,,,,,,
82,10.000000,-0.600000,13.000000,,,,,,,,
71,0.000000,0.000000,13.000000,,,,,,,,
77,5.000000,0.000000,13.000000,,,,,,,,
83,10.000000,0.000000,13.000000,,,,,,,,
72,0.000000,5.000000,13.000000,,,,,,,,
78,5.000000,5.000000,13.000000,,,,,,,,
84,10.000000,5.000000,13.000000,,,,,,,,
73,0.000000,10.000000,13.000000,,,,,,,,
79,5.000000,10.000000,13.000000,,,,,,,,
85,10.000000,10.000000,13.000000,,,,,,,,
74,0.000000,15.000000,13.000000,,,,,,,,
80,5.000000,15.000000,13.000000,,,,,,,,
86,10.000000,15.000000,13.000000,,,,,,,,
75,0.000000,18.000000,13.000000,,,,,,,,
81,5.000000,18.000000,13.000000,,,,,,,,
87,10.000000,18.000000,13.000000,,,,,,,,
