Elemento,Nodos,Fxx,Fyy,Fxy,Mxx,Myy,Mxy,Vxz,Vyz
121,"[17, 18, 22, 21]",-0.090,-0.022,2.837,3.845,-2.287,0.000,0.090,-0.022
122,"[18, 19, 23, 22]",-0.171,-0.051,3.413,6.826,0.000,-0.000,0.171,-0.051
123,"[19, 20, 24, 23]",-0.090,-0.022,1.468,4.767,2.287,-0.000,0.090,-0.022
124,"[21, 22, 26, 25]",-0.112,-0.022,1.593,-0.000,-3.982,0.000,0.112,-0.022
125,"[22, 23, 27, 26]",-0.213,-0.051,0.000,-0.000,0.000,-0.000,0.213,-0.051
126,"[23, 24, 28, 27]",-0.112,-0.022,-1.593,-0.000,3.982,-0.000,0.112,-0.022
127,"[25, 26, 30, 29]",-0.090,-0.022,-0.828,-3.845,-2.737,-0.000,0.090,-0.022
128,"[26, 27, 31, 30]",-0.171,-0.051,-3.413,-6.826,0.000,0.000,0.171,-0.051
129,"[27, 28, 32, 31]",-0.090,-0.022,-3.478,-4.767,2.737,0.000,0.090,-0.022
130,"[33, 34, 38, 37]",-0.092,-0.023,4.699,6.349,-3.810,0.000,0.092,-0.023
131,"[34, 35, 39, 38]",-0.172,-0.052,5.618,11.236,0.000,0.000,0.172,-0.052
132,"[35, 36, 40, 39]",-0.092,-0.023,2.404,7.856,3.810,0.000,0.092,-0.023
133,"[37, 38, 42, 41]",-0.115,-0.023,2.711,-0.000,-6.778,0.000,0.115,-0.023
134,"[38, 39, 43, 42]",-0.215,-0.052,0.000,-0.000,0.000,0.000,0.215,-0.052
135,"[39, 40, 44, 43]",-0.115,-0.023,-2.711,-0.000,6.778,-0.000,0.115,-0.023
136,"[41, 42, 46, 45]",-0.092,-0.023,-1.328,-6.349,-4.616,0.000,0.092,-0.023
137,"[42, 43, 47, 46]",-0.172,-0.052,-5.618,-11.236,0.000,-0.000,0.172,-0.052
138,"[43, 44, 48, 47]",-0.092,-0.023,-5.775,-7.856,4.616,-0.000,0.092,-0.023
139,"[49, 50, 54, 53]",0.285,0.071,4.849,7.580,-2.646,-0.000,-0.285,0.071
140,"[50, 51, 55, 54]",0.522,0.156,6.705,13.410,0.000,0.000,-0.522,0.156
141,"[51, 52, 56, 55]",0.285,0.071,3.630,9.378,2.646,0.000,-0.285,0.071
142,"[53, 54, 58, 57]",0.356,0.071,1.976,-0.000,-4.941,0.000,-0.356,0.071
143,"[54, 55, 59, 58]",0.652,0.156,0.000,-0.000,0.000,0.000,-0.652,0.156
144,"[55, 56, 60, 59]",0.356,0.071,-1.976,-0.000,4.941,-0.000,-0.356,0.071
145,"[57, 58, 62, 61]",0.285,0.071,-2.470,-7.580,-3.300,0.000,-0.285,0.071
146,"[58, 59, 63, 62]",0.522,0.156,-6.705,-13.410,0.000,-0.000,-0.522,0.156
147,"[59, 60, 64, 63]",0.285,0.071,-6.009,-9.378,3.300,-0.000,-0.285,0.071
