Elemento,Tipo,Longitud,Nodo_I,Nodo_J,N_I,V_I,M_I,N_J,V_J,M_J
1,Columna,3.000,1,17,1.446,-2.157,0.000,-1.446,2.157,-0.000
2,Columna,3.000,5,21,2.352,-2.111,0.000,-2.352,2.111,-0.000
3,Columna,3.000,9,25,2.352,2.111,-0.000,-2.352,-2.111,0.000
4,Columna,3.000,13,29,1.446,2.157,-0.000,-1.446,-2.157,0.000
5,Columna,3.000,2,18,0.946,2.262,0.000,-0.946,-2.262,-0.000
6,Columna,3.000,6,22,1.833,2.112,0.000,-1.833,-2.112,-0.000
7,Columna,3.000,10,26,1.833,-2.112,-0.000,-1.833,2.112,0.000
8,Columna,3.000,14,30,0.946,-2.262,-0.000,-0.946,2.262,0.000
9,Columna,3.000,3,19,-0.946,2.262,-0.000,0.946,-2.262,0.000
10,Columna,3.000,7,23,-1.833,2.112,-0.000,1.833,-2.112,0.000
11,Columna,3.000,11,27,-1.833,-2.112,0.000,1.833,2.112,-0.000
12,Columna,3.000,15,31,-0.946,-2.262,0.000,0.946,2.262,-0.000
13,Columna,3.000,4,20,-1.446,-2.157,-0.000,1.446,2.157,0.000
14,Columna,3.000,8,24,-2.352,-2.111,-0.000,2.352,2.111,0.000
15,Columna,3.000,12,28,-2.352,2.111,0.000,2.352,-2.111,-0.000
16,Columna,3.000,16,32,-1.446,2.157,0.000,1.446,-2.157,-0.000
17,Columna,3.000,17,33,2.480,-2.584,-0.000,-2.480,2.584,0.000
18,Columna,3.000,21,37,4.628,-2.691,-0.000,-4.628,2.691,0.000
19,Columna,3.000,25,41,4.628,2.691,0.000,-4.628,-2.691,-0.000
20,Columna,3.000,29,45,2.480,2.584,0.000,-2.480,-2.584,-0.000
21,Columna,3.000,18,34,1.814,2.785,-0.000,-1.814,-2.785,0.000
22,Columna,3.000,22,38,3.945,2.691,-0.000,-3.945,-2.691,0.000
23,Columna,3.000,26,42,3.945,-2.691,0.000,-3.945,2.691,-0.000
24,Columna,3.000,30,46,1.814,-2.785,0.000,-1.814,2.785,-0.000
25,Columna,3.000,19,35,-1.814,2.785,0.000,1.814,-2.785,-0.000
26,Columna,3.000,23,39,-3.945,2.691,0.000,3.945,-2.691,-0.000
27,Columna,3.000,27,43,-3.945,-2.691,-0.000,3.945,2.691,0.000
28,Columna,3.000,31,47,-1.814,-2.785,-0.000,1.814,2.785,0.000
29,Columna,3.000,20,36,-2.480,-2.584,0.000,2.480,2.584,-0.000
30,Columna,3.000,24,40,-4.628,-2.691,0.000,4.628,2.691,-0.000
31,Columna,3.000,28,44,-4.628,2.691,-0.000,4.628,-2.691,0.000
32,Columna,3.000,32,48,-2.480,2.584,-0.000,2.480,-2.584,0.000
33,Columna,3.000,33,49,3.385,-2.724,-0.000,-3.385,2.724,0.000
34,Columna,3.000,37,53,7.117,-3.018,-0.000,-7.117,3.018,0.000
35,Columna,3.000,41,57,7.117,3.018,0.000,-7.117,-3.018,-0.000
36,Columna,3.000,45,61,3.385,2.724,0.000,-3.385,-2.724,-0.000
37,Columna,3.000,34,50,2.540,3.023,-0.000,-2.540,-3.023,0.000
38,Columna,3.000,38,54,6.175,3.018,-0.000,-6.175,-3.018,0.000
39,Columna,3.000,42,58,6.175,-3.018,0.000,-6.175,3.018,-0.000
40,Columna,3.000,46,62,2.540,-3.023,0.000,-2.540,3.023,-0.000
41,Columna,3.000,35,51,-2.540,3.023,0.000,2.540,-3.023,-0.000
42,Columna,3.000,39,55,-6.175,3.018,0.000,6.175,-3.018,-0.000
43,Columna,3.000,43,59,-6.175,-3.018,-0.000,6.175,3.018,0.000
